 b, c, e, f
16669, Note_on_c, 76, 0
16669, Note_on_c, 81, 0
16669, Note_on_c, 69, 0
16680, Note_on_c, 69, 80
16680, Note_on_c, 81, 80
16680, Note_on_c, 74, 80
16789, Note_on_c, 74, 0
16789, Note_on_c, 81, 0
16789, Note_on_c, 69, 0
16800, Note_on_c, 81, 80
16800, Note_on_c, 74, 80
16800, Note_on_c, 70, 80
16850, Note_on_c, 81, 0
16860, Note_on_c, 79, 80
16969, Note_on_c, 79, 0
16969, Note_on_c, 70, 0
16969, Note_on_c, 74, 0
16980, Note_on_c, 67, 80
16980, Note_on_c, 70, 80
16980, Note_on_c, 79, 80
17035, Note_on_c, 70, 0
17035, Note_on_c, 67, 0
17095, Note_on_c, 79, 0
17100, Note_on_c, 77, 80
17155, Note_on_c, 77, 0
17160, Note_on_c, 76, 80
17215, Note_on_c, 76, 0
17220, Note_on_c, 74, 80
17275, Note_on_c, 74, 0
17280, Note_on_c, 69, 80
17280, Note_on_c, 67, 80
17280, Note_on_c, 73, 80
17389, Note_on_c, 73, 0
17389, Note_on_c, 67, 0
17389, Note_on_c, 69, 0
17400, Note_on_c, 69, 80
17400, Note_on_c, 73, 80
17400, Note_on_c, 67, 80
17455, Note_on_c, 67, 0
17455, Note_on_c, 73, 0
17455, Note_on_c, 69, 0
17460, Note_on_c, 76, 80
17515, Note_on_c, 76, 0
17520, Note_on_c, 74, 80
17520, Note_on_c, 67, 80
17520, Note_on_c, 69, 80
17575, Note_on_c, 74, 0
17580, Note_on_c, 73, 80
17689, Note_on_c, 73, 0
17689, Note_on_c, 69, 0
17689, Note_on_c, 67, 0
17700, Note_on_c, 69, 80
17700, Note_on_c, 65, 80
17700, Note_on_c, 74, 80
17869, Note_on_c, 74, 0
17869, Note_on_c, 65, 0
17869, Note_on_c, 69, 0
17880, Note_on_c, 69, 80
17935, Note_on_c, 69, 0
17940, Note_on_c, 70, 80
18055, Note_on_c, 70, 0
18060, Note_on_c, 69, 80
18115, Note_on_c, 69, 0
18120, Note_on_c, 67, 80
18175, Note_on_c, 67, 0
18180, Note_on_c, 65, 80
18235, Note_on_c, 65, 0
18240, Note_on_c, 64, 80
18349, Note_on_c, 64, 0
18360, Note_on_c, 64, 80
18415, Note_on_c, 64, 0
18420, Note_on_c, 65, 80
18475, Note_on_c, 65, 0
18480, Note_on_c, 64, 80
18535, Note_on_c, 64, 0
18540, Note_on_c, 62, 80
18649, Note_on_c, 62, 0
18660, Note_on_c, 69, 80
18660, Note_on_c, 61, 80
18829, Note_on_c, 61, 0
18829, Note_on_c, 69, 0
18840, Note_on_c, 68, 80
18895, Note_on_c, 68, 0
18900, Note_on_c, 69, 80
19015, Note_on_c, 69, 0
19020, Note_on_c, 68, 80
19075, Note_on_c, 68, 0
19080, Note_on_c, 69, 80
19135, Note_on_c, 69, 0
19140, Note_on_c, 67, 80
19195, Note_on_c, 67, 0
19200, Note_on_c, 66, 80
19364, Note_on_c, 66, 0
19380, Note_on_c, 69, 80
19435, Note_on_c, 69, 0
19440, Note_on_c, 67, 80
19490, Note_on_c, 67, 0
19500, Note_on_c, 66, 80
19609, Note_on_c, 66, 0
19620, Note_on_c, 64, 80
19675, Note_on_c, 64, 0
19680, Note_on_c, 66, 80
19844, Note_on_c, 66, 0
19860, Note_on_c, 69, 80
19915, Note_on_c, 69, 0
19920, Note_on_c, 67, 80
19970, Note_on_c, 67, 0
19980, Note_on_c, 66, 80
20089, Note_on_c, 66, 0
20100, Note_on_c, 64, 80
20155, Note_on_c, 64, 0
20160, Note_on_c, 62, 80
20251, Note_on_c, 62, 0
20280, Note_on_c, 90, 80
20307, Note_on_c, 90, 0
20310, Note_on_c, 86, 80
20337, Note_on_c, 86, 0
20340, Note_on_c, 81, 80
20367, Note_on_c, 81, 0
20370, Note_on_c, 78, 80
20397, Note_on_c, 78, 0
20400, Note_on_c, 74, 80
20455, Note_on_c, 74, 0
20460, Note_on_c, 69, 80
20515, Note_on_c, 69, 0
20520, Note_on_c, 66, 80
20575, Note_on_c, 66, 0
20580, Note_on_c, 69, 80
20635, Note_on_c, 69, 0
20640, Note_on_c, 67, 80
20640, Note_on_c, 72, 80
20690, Note_on_c, 72, 0
20700, Note_on_c, 71, 80
20809, Note_on_c, 71, 0
20809, Note_on_c, 67, 0
20820, Note_on_c, 71, 80
20820, Note_on_c, 67, 80
20935, Note_on_c, 67, 0
20935, Note_on_c, 71, 0
20940, Note_on_c, 74, 80
20990, Note_on_c, 74, 0
21000, Note_on_c, 79, 80
21000, Note_on_c, 71, 80
21000, Note_on_c, 67, 80
21101, Note_on_c, 67, 0
21101, Note_on_c, 71, 0
21101, Note_on_c, 79, 0
21120, Note_on_c, 70, 80
21175, Note_on_c, 70, 0
21180, Note_on_c, 65, 80
21235, Note_on_c, 65, 0
21240, Note_on_c, 70, 80
21295, Note_on_c, 70, 0
21300, Note_on_c, 72, 80
21355, Note_on_c, 72, 0
21360, Note_on_c, 74, 80
21415, Note_on_c, 74, 0
21420, Note_on_c, 77, 80
21475, Note_on_c, 77, 0
21480, Note_on_c, 82, 80
21535, Note_on_c, 82, 0
21540, Note_on_c, 80, 80
21595, Note_on_c, 80, 0
21600, Note_on_c, 81, 80
21655, Note_on_c, 81, 0
21660, Note_on_c, 90, 80
21715, Note_on_c, 90, 0
21720, Note_on_c, 86, 80
21775, Note_on_c, 86, 0
21780, Note_on_c, 81, 80
21835, Note_on_c, 81, 0
21840, Note_on_c, 78, 80
21895, Note_on_c, 78, 0
21900, Note_on_c, 74, 80
21955, Note_on_c, 74, 0
21960, Note_on_c, 69, 80
22015, Note_on_c, 69, 0
22020, Note_on_c, 74, 80
22075, Note_on_c, 74, 0
22080, Note_on_c, 76, 80
22244, Note_on_c, 76, 0
22260, Note_on_c, 74, 80
22315, Note_on_c, 74, 0
22320, Note_on_c, 73, 80
22370, Note_on_c, 73, 0
22380, Note_on_c, 78, 80
22489, Note_on_c, 78, 0
22500, Note_on_c, 66, 80
22500, Note_on_c, 74, 80
22663, Note_on_c, 74, 0
22663, Note_on_c, 66, 0
22680, Note_on_c, 69, 80
22680, Note_on_c, 57, 80
22733, Note_on_c, 57, 0
22733, Note_on_c, 69, 0
22740, Note_on_c, 57, 80
22740, Note_on_c, 69, 80
22793, Note_on_c, 69, 0
22793, Note_on_c, 57, 0
22800, Note_on_c, 57, 80
22800, Note_on_c, 69, 80
22906, Note_on_c, 69, 0
22906, Note_on_c, 57, 0
22920, Note_on_c, 67, 80
22920, Note_on_c, 57, 80
23021, Note_on_c, 57, 0
23021, Note_on_c, 67, 0
23040, Note_on_c, 65, 80
23204, Note_on_c, 65, 0
23220, Note_on_c, 69, 80
23275, Note_on_c, 69, 0
23280, Note_on_c, 67, 80
23330, Note_on_c, 67, 0
23340, Note_on_c, 65, 80
23449, Note_on_c, 65, 0
23460, Note_on_c, 64, 80
23515, Note_on_c, 64, 0
23520, Note_on_c, 65, 80
23684, Note_on_c, 65, 0
23700, Note_on_c, 69, 80
23755, Note_on_c, 69, 0
23760, Note_on_c, 67, 80
23810, Note_on_c, 67, 0
23820, Note_on_c, 65, 80
23929, Note_on_c, 65, 0
23940, Note_on_c, 64, 80
23995, Note_on_c, 64, 0
24000, Note_on_c, 62, 80
24101, Note_on_c, 62, 0
24120, Note_on_c, 77, 80
24120, Note_on_c, 81, 80
24120, Note_on_c, 69, 80
24229, Note_on_c, 69, 0
24229, Note_on_c, 81, 0
24229, Note_on_c, 77, 0
24240, Note_on_c, 69, 80
24240, Note_on_c, 81, 80
24240, Note_on_c, 76, 80
24349, Note_on_c, 76, 0
24349, Note_on_c, 81, 0
24349, Note_on_c, 69, 0
24360, Note_on_c, 69, 80
24360, Note_on_c, 81, 80
24360, Note_on_c, 74, 80
24469, Note_on_c, 74, 0
24469, Note_on_c, 81, 0
24469, Note_on_c, 69, 0
24480, Note_on_c, 81, 80
24480, Note_on_c, 74, 80
24480, Note_on_c, 70, 80
24530, Note_on_c, 81, 0
24540, Note_on_c, 79, 80
24649, Note_on_c, 79, 0
24649, Note_on_c, 70, 0
24649, Note_on_c, 74, 0
24660, Note_on_c, 67, 80
24660, Note_on_c, 70, 80
24660, Note_on_c, 79, 80
24715, Note_on_c, 70, 0
24715, Note_on_c, 67, 0
24775, Note_on_c, 79, 0
24780, Note_on_c, 77, 80
24835, Note_on_c, 77, 0
24840, Note_on_c, 76, 80
24895, Note_on_c, 76, 0
24900, Note_on_c, 74, 80
24955, Note_on_c, 74, 0
24960, Note_on_c, 69, 80
24960, Note_on_c, 67, 80
24960, Note_on_c, 73, 80
25069, Note_on_c, 73, 0
25069, Note_on_c, 67, 0
25069, Note_on_c, 69, 0
25080, Note_on_c, 69, 80
25080, Note_on_c, 73, 80
25080, Note_on_c, 67, 80
25135, Note_on_c, 67, 0
25135, Note_on_c, 73, 0
25135, Note_on_c, 69, 0
25140, Note_on_c, 76, 80
25195, Note_on_c, 76, 0
25200, Note_on_c, 74, 80
25200, Note_on_c, 67, 80
25200, Note_on_c, 69, 80
25255, Note_on_c, 74, 0
25260, Note_on_c, 73, 80
25369, Note_on_c, 73, 0
25369, Note_on_c, 69, 0
25369, Note_on_c, 67, 0
25380, Note_on_c, 69, 80
25380, Note_on_c, 65, 80
25380, Note_on_c, 74, 80
25549, Note_on_c, 74, 0
25549, Note_on_c, 65, 0
25549, Note_on_c, 69, 0
25560, Note_on_c, 69, 80
25615, Note_on_c, 69, 0
25620, Note_on_c, 70, 80
25735, Note_on_c, 70, 0
25740, Note_on_c, 69, 80
25795, Note_on_c, 69, 0
25800, Note_on_c, 67, 80
25855, Note_on_c, 67, 0
25860, Note_on_c, 65, 80
25915, Note_on_c, 65, 0
25920, Note_on_c, 64, 80
26029, Note_on_c, 64, 0
26040, Note_on_c, 64, 80
26095, Note_on_c, 64, 0
26100, Note_on_c, 65, 80
26155, Note_on_c, 65, 0
26160, Note_on_c, 64, 80
26215, Note_on_c, 64, 0
26220, Note_on_c, 62, 80
26329, Note_on_c, 62, 0
26340, Note_on_c, 69, 80
26340, Note_on_c, 61, 80
26509, Note_on_c, 61, 0
26509, Note_on_c, 69, 0
26520, Note_on_c, 68, 80
26575, Note_on_c, 68, 0
26580, Note_on_c, 69, 80
26695, Note_on_c, 69, 0
26700, Note_on_c, 68, 80
26755, Note_on_c, 68, 0
26760, Note_on_c, 69, 80
26815, Note_on_c, 69, 0
26820, Note_on_c, 67, 80
26875, Note_on_c, 67, 0
26880, Note_on_c, 66, 80
27044, Note_on_c, 66, 0
27060, Note_on_c, 69, 80
27115, Note_on_c, 69, 0
27120, Note_on_c, 67, 80
27170, Note_on_c, 67, 0
27180, Note_on_c, 66, 80
27289, Note_on_c, 66, 0
27300, Note_on_c, 64, 80
27355, Note_on_c, 64, 0
27360, Note_on_c, 66, 80
27524, Note_on_c, 66, 0
27540, Note_on_c, 69, 80
27595, Note_on_c, 69, 0
27600, Note_on_c, 67, 80
27650, Note_on_c, 67, 0
27660, Note_on_c, 66, 80
27769, Note_on_c, 66, 0
27780, Note_on_c, 64, 80
27835, Note_on_c, 64, 0
27840, Note_on_c, 62, 80
27931, Note_on_c, 62, 0
27960, Note_on_c, 90, 80
27987, Note_on_c, 90, 0
27990, Note_on_c, 86, 80
28017, Note_on_c, 86, 0
28020, Note_on_c, 81, 80
28047, Note_on_c, 81, 0
28050, Note_on_c, 78, 80
28077, Note_on_c, 78, 0
28080, Note_on_c, 74, 80
28135, Note_on_c, 74, 0
28140, Note_on_c, 69, 80
28195, Note_on_c, 69, 0
28200, Note_on_c, 66, 80
28255, Note_on_c, 66, 0
28260, Note_on_c, 69, 80
28315, Note_on_c, 69, 0
28320, Note_on_c, 67, 80
28320, Note_on_c, 72, 80
28370, Note_on_c, 72, 0
28380, Note_on_c, 71, 80
28489, Note_on_c, 71, 0
28489, Note_on_c, 67, 0
28500, Note_on_c, 71, 80
28500, Note_on_c, 67, 80
28615, Note_on_c, 67, 0
28615, Note_on_c, 71, 0
28620, Note_on_c, 74, 80
28670, Note_on_c, 74, 0
28680, Note_on_c, 79, 80
28680, Note_on_c, 71, 80
28680, Note_on_c, 67, 80
28781, Note_on_c, 67, 0
28781, Note_on_c, 71, 0
28781, Note_on_c, 79, 0
28800, Note_on_c, 70, 80
28855, Note_on_c, 70, 0
28860, Note_on_c, 65, 80
28915, Note_on_c, 65, 0
28920, Note_on_c, 70, 80
28975, Note_on_c, 70, 0
28980, Note_on_c, 72, 80
29035, Note_on_c, 72, 0
