a, b, c, d, e, f
2, 3160, Note_on_c, 0, 81, 0
2, 3162, Note_on_c, 0, 57, 0
2, 3162, Note_on_c, 0, 78, 0
2, 3192, Note_on_c, 0, 69, 80
2, 3196, Note_on_c, 0, 81, 80
2, 3209, Note_on_c, 0, 81, 0
2, 3209, Note_on_c, 0, 60, 0
2, 3219, Note_on_c, 0, 69, 0
2, 3230, Note_on_c, 0, 47, 80
2, 3230, Note_on_c, 0, 59, 80
2, 3230, Note_on_c, 0, 72, 80
2, 3230, Note_on_c, 0, 77, 80
2, 3230, Note_on_c, 0, 81, 80
2, 3230, Note_on_c, 0, 84, 80
2, 3239, Control_c, 0, 64, 127
2, 3254, Note_on_c, 0, 84, 0
2, 3254, Note_on_c, 0, 77, 0
2, 3254, Note_on_c, 0, 72, 0
2, 3254, Note_on_c, 0, 81, 0
2, 3256, Note_on_c, 0, 47, 0
2, 3288, Note_on_c, 0, 71, 80
2, 3288, Note_on_c, 0, 77, 80
2, 3292, Note_on_c, 0, 59, 0
2, 3292, Note_on_c, 0, 79, 80
2, 3292, Note_on_c, 0, 83, 80
2, 3325, Note_on_c, 0, 55, 80
2, 3325, Note_on_c, 0, 59, 80
2, 3325, Note_on_c, 0, 62, 80
2, 3325, Note_on_c, 0, 65, 80
2, 3329, Control_c, 0, 64, 0
2, 3350, Note_on_c, 0, 65, 0
2, 3350, Note_on_c, 0, 62, 0
2, 3350, Note_on_c, 0, 77, 0
2, 3350, Note_on_c, 0, 79, 0
2, 3350, Note_on_c, 0, 71, 0
2, 3350, Note_on_c, 0, 55, 0
2, 3355, Note_on_c, 0, 83, 0
2, 3389, Note_on_c, 0, 70, 80
2, 3389, Note_on_c, 0, 77, 80
2, 3389, Note_on_c, 0, 82, 80
2, 3424, Note_on_c, 0, 43, 80
2, 3450, Note_on_c, 0, 43, 0
2, 3450, Note_on_c, 0, 77, 0
2, 3450, Note_on_c, 0, 70, 0
2, 3454, Note_on_c, 0, 82, 0
2, 3475, Note_on_c, 0, 59, 0
2, 3483, Note_on_c, 0, 71, 80
2, 3483, Note_on_c, 0, 77, 80
2, 3483, Note_on_c, 0, 83, 80
2, 3520, Note_on_c, 0, 59, 80
2, 3522, Note_on_c, 0, 71, 0
2, 3522, Note_on_c, 0, 62, 80
2, 3522, Note_on_c, 0, 65, 80
2, 3524, Note_on_c, 0, 55, 80
2, 3526, Note_on_c, 0, 77, 0
2, 3528, Note_on_c, 0, 83, 0
2, 3549, Note_on_c, 0, 62, 0
