0,1,2,3
 55,27966,28081,0.625
 58,28104,28365,1.0
 60,28370,28549,0.875
 57,28372,28551,0.875
 51,28458,28495,0.25
 48,28503,28551,0.25
 53,28567,28595,0.125
 55,28591,28615,0.125
 57,28611,28637,0.125
 58,28633,28772,0.75
 57,28768,28906,0.75
 56,28902,29035,0.75
 55,29031,29171,0.75
 54,29167,29236,0.375
 53,29256,29350,0.5
 53,29388,29503,0.625
 58,29565,29643,0.375
 60,29651,29701,0.25
 58,29697,29754,0.25
 58,29811,29882,0.375
 52,29813,29924,0.625
 53,29942,29977,0.125
 58,29942,29976,0.125
 58,30072,30152,0.375
 60,30158,30205,0.25
 58,30203,30263,0.25
 52,30336,30451,0.625
 58,30336,30403,0.375
 58,30467,30504,0.25
 53,30469,30506,0.25
 58,30601,30689,0.5
 60,30696,30742,0.25
 58,30738,30773,0.125
 53,30740,30775,0.125
 58,30872,30961,0.5
 60,30958,31007,0.25
 52,31005,31038,0.125
 55,31005,31038,0.125
 58,31133,31213,0.375
 60,31221,31258,0.25
 56,31266,31335,0.375
 53,31268,31335,0.375
 56,31787,31834,0.25
 56,31918,31963,0.25
 58,31918,31961,0.25
 56,32178,32225,0.25
 58,32178,32225,0.25
 56,32308,32352,0.25
 56,32441,32488,0.25
 58,32441,32488,0.25
 56,32702,32747,0.25
 58,32702,32747,0.25
 55,32835,32882,0.25
 58,32963,33015,0.25
 60,32963,33015,0.25
 55,32965,33015,0.25
 55,33234,33282,0.25
 60,33234,33282,0.25
 58,33236,33282,0.25
 55,33366,33414,0.25
 60,33497,33634,0.75
 58,33632,33768,0.75
 56,33764,33835,0.375
 48,33895,33940,0.25
 56,33895,33940,0.25
 56,34028,34074,0.25
 58,34028,34074,0.25
 50,34152,34204,0.25
 56,34287,34332,0.25
 58,34287,34332,0.25
 56,34416,34462,0.25
 54,34501,34516,0.125
 55,34512,34528,0.125
 56,34524,34549,0.125
 57,34545,34616,0.375
 58,34636,34672,0.25
 57,34678,34747,0.375
 56,34811,34878,0.375
 55,34937,35010,0.375
 49,35008,35383,1.0
 49,35436,35449,0.125
 48,35446,35463,0.125
 54,35534,35811,1.0
 57,35849,35916,0.375
 51,35851,35916,0.375
 48,36003,36049,0.25
 56,36003,36049,0.25
 56,36133,36181,0.25
 58,36133,36179,0.25
 50,36264,36307,0.25
 56,36394,36439,0.25
 58,36394,36439,0.25
 48,36523,36571,0.25
 56,36523,36571,0.25
 56,36655,36700,0.25
 58,36655,36700,0.25
 50,36788,36836,0.25
 58,36917,36965,0.25
 56,36919,36965,0.25
 55,37055,37098,0.25
 55,37184,37232,0.25
 58,37184,37232,0.25
 50,37319,37364,0.25
 55,37446,37491,0.25
 58,37446,37491,0.25
 60,37446,37491,0.25
 55,37575,37620,0.25
 55,37703,37750,0.25
 58,37703,37750,0.25
 60,37703,37750,0.25
 53,37837,37885,0.25
 52,37976,38023,0.25
 52,38105,38179,0.375
 55,38243,38289,0.25
 58,38243,38289,0.25
 55,38376,38423,0.25
 55,38507,38554,0.25
 58,38507,38554,0.25
 60,38507,38552,0.25
