 b, c, e, f
8025, Note_on_c, 52, 0
8025, Note_on_c, 61, 0
8025, Note_on_c, 58, 0
8025, Note_on_c, 64, 0
8025, Note_on_c, 55, 0
8027, Note_on_c, 37, 0
8090, Note_on_c, 67, 80
8092, Note_on_c, 57, 80
8092, Note_on_c, 63, 80
8094, Note_on_c, 36, 80
8094, Note_on_c, 48, 80
8130, Control_c, 64, 127
8160, Note_on_c, 65, 80
8163, Note_on_c, 67, 0
8227, Note_on_c, 63, 0
8229, Note_on_c, 36, 0
8229, Note_on_c, 57, 0
8229, Note_on_c, 48, 0
8282, Note_on_c, 65, 0
8288, Note_on_c, 67, 80
8290, Note_on_c, 41, 80
8290, Note_on_c, 48, 80
8290, Note_on_c, 57, 80
8290, Note_on_c, 63, 80
8316, Note_on_c, 67, 0
8359, Note_on_c, 67, 80
8363, Note_on_c, 57, 0
8363, Note_on_c, 48, 0
8365, Note_on_c, 41, 0
8383, Note_on_c, 67, 0
8389, Note_on_c, 69, 80
8421, Note_on_c, 67, 80
8426, Note_on_c, 69, 0
8458, Note_on_c, 41, 80
8458, Note_on_c, 48, 80
8458, Note_on_c, 57, 80
8458, Note_on_c, 65, 80
8460, Note_on_c, 67, 0
8472, Control_c, 64, 0
8525, Note_on_c, 65, 0
8527, Note_on_c, 48, 0
8527, Note_on_c, 63, 0
8527, Note_on_c, 41, 0
8527, Note_on_c, 57, 0
8555, Note_on_c, 79, 80
8557, Note_on_c, 55, 80
8575, Note_on_c, 56, 80
8575, Note_on_c, 80, 80
8577, Note_on_c, 79, 0
8579, Note_on_c, 55, 0
8595, Note_on_c, 81, 80
8597, Note_on_c, 57, 80
8601, Note_on_c, 56, 0
8609, Note_on_c, 80, 0
8615, Note_on_c, 76, 80
8615, Note_on_c, 79, 80
8615, Note_on_c, 82, 80
8616, Note_on_c, 50, 80
8616, Note_on_c, 58, 80
8618, Note_on_c, 81, 0
8618, Note_on_c, 43, 80
8622, Note_on_c, 57, 0
8639, Note_on_c, 79, 0
8639, Note_on_c, 82, 0
8639, Note_on_c, 76, 0
8646, Note_on_c, 74, 80
8648, Note_on_c, 70, 80
8672, Note_on_c, 70, 0
8672, Note_on_c, 74, 0
8680, Note_on_c, 76, 80
8680, Note_on_c, 79, 80
8680, Note_on_c, 82, 80
8684, Control_c, 64, 127
8706, Note_on_c, 82, 0
8706, Note_on_c, 76, 0
8706, Note_on_c, 79, 0
8712, Note_on_c, 74, 80
8713, Note_on_c, 70, 80
8737, Note_on_c, 74, 0
8739, Note_on_c, 70, 0
8747, Note_on_c, 76, 80
8747, Note_on_c, 79, 80
8747, Note_on_c, 82, 80
8765, Control_c, 64, 0
8769, Note_on_c, 82, 0
8769, Note_on_c, 76, 0
8769, Note_on_c, 79, 0
8777, Note_on_c, 70, 80
8777, Note_on_c, 74, 80
8801, Note_on_c, 74, 0
8803, Note_on_c, 70, 0
8808, Note_on_c, 76, 80
8808, Note_on_c, 79, 80
8808, Note_on_c, 82, 80
8812, Control_c, 64, 127
8832, Note_on_c, 82, 0
8832, Note_on_c, 76, 0
8832, Note_on_c, 79, 0
8840, Note_on_c, 74, 80
8842, Note_on_c, 70, 80
8864, Note_on_c, 70, 0
8864, Note_on_c, 74, 0
8872, Note_on_c, 76, 80
8872, Note_on_c, 79, 80
8872, Note_on_c, 82, 80
8900, Note_on_c, 82, 0
8900, Note_on_c, 76, 0
8900, Note_on_c, 79, 0
8907, Note_on_c, 70, 80
8907, Note_on_c, 74, 80
8928, Control_c, 64, 0
8931, Note_on_c, 74, 0
8933, Note_on_c, 70, 0
8939, Note_on_c, 76, 80
8939, Note_on_c, 79, 80
8939, Note_on_c, 82, 80
8965, Note_on_c, 82, 0
8965, Note_on_c, 76, 0
8965, Note_on_c, 79, 0
8971, Note_on_c, 74, 80
8973, Note_on_c, 70, 80
8997, Note_on_c, 70, 0
8997, Note_on_c, 74, 0
9000, Note_on_c, 82, 80
9002, Note_on_c, 76, 80
9002, Note_on_c, 79, 80
9006, Note_on_c, 58, 0
9008, Note_on_c, 50, 0
9008, Note_on_c, 43, 0
9028, Note_on_c, 82, 0
9028, Note_on_c, 76, 0
9028, Note_on_c, 79, 0
9038, Note_on_c, 74, 80
9040, Note_on_c, 70, 80
9062, Note_on_c, 74, 0
9064, Note_on_c, 70, 0
9072, Note_on_c, 78, 80
9073, Note_on_c, 38, 80
9097, Note_on_c, 79, 80
9099, Note_on_c, 78, 0
9099, Note_on_c, 40, 80
9103, Note_on_c, 38, 0
9120, Note_on_c, 80, 80
9121, Note_on_c, 79, 0
9121, Note_on_c, 41, 80
9125, Note_on_c, 40, 0
9142, Note_on_c, 57, 80
9142, Note_on_c, 75, 80
9142, Note_on_c, 78, 80
9142, Note_on_c, 81, 80
9144, Note_on_c, 51, 80
9145, Note_on_c, 42, 80
9147, Note_on_c, 41, 0
9157, Note_on_c, 80, 0
9167, Note_on_c, 75, 0
9167, Note_on_c, 78, 0
9167, Note_on_c, 81, 0
9174, Note_on_c, 69, 80
9174, Note_on_c, 72, 80
9178, Control_c, 64, 127
9200, Note_on_c, 72, 0
9200, Note_on_c, 69, 0
9204, Note_on_c, 75, 80
9204, Note_on_c, 81, 80
9206, Note_on_c, 78, 80
9230, Note_on_c, 78, 0
9230, Note_on_c, 75, 0
9230, Note_on_c, 81, 0
9241, Note_on_c, 69, 80
9241, Note_on_c, 72, 80
9265, Note_on_c, 72, 0
9267, Note_on_c, 69, 0
9273, Note_on_c, 75, 80
9273, Note_on_c, 78, 80
9273, Note_on_c, 81, 80
9299, Note_on_c, 81, 0
9299, Note_on_c, 75, 0
9299, Note_on_c, 78, 0
9307, Note_on_c, 72, 80
9309, Note_on_c, 69, 80
9333, Note_on_c, 69, 0
9333, Note_on_c, 72, 0
9340, Note_on_c, 81, 80
9342, Note_on_c, 75, 80
9342, Note_on_c, 78, 80
9366, Note_on_c, 78, 0
9366, Note_on_c, 81, 0
9366, Note_on_c, 75, 0
